age,education,work_age,address,income,credit_card,other_credit,violate_contact
41,3,17,12,176.00,9.30,11.36,5.01,1
27,1,10,6,31.00,17.30,1.36,4.00,0
40,1,15,14,55.00,5.50,0.86,2.17,0
41,1,15,14,120.00,2.90,2.66,0.82,0
24,2,2,0,28.00,17.30,1.79,3.06,1
41,2,5,5,25.00,10.20,0.39,2.16,0
39,1,20,9,67.00,30.60,3.83,16.67,0
43,1,12,11,38.00,3.60,0.13,1.24,0
24,1,3,4,19.00,24.40,1.36,3.28,1
36,1,0,13,25.00,19.70,2.78,2.15,0
27,1,0,1,16.00,1.70,0.18,0.09,0
25,1,4,0,23.00,5.20,0.25,0.94,0
52,1,24,14,64.00,10.00,3.93,2.47,0
37,1,6,9,29.00,16.30,1.72,3.01,0
48,1,22,15,100.00,9.10,3.70,5.40,0
36,2,9,6,49.00,8.60,0.82,3.40,1
36,2,13,6,41.00,16.40,2.92,3.81,1
43,1,23,19,72.00,7.60,1.18,4.29,0
39,1,6,9,61.00,5.70,0.56,2.91,0
41,3,0,21,26.00,1.70,0.10,0.34,0
39,1,22,3,52.00,3.20,1.15,0.51,0
47,1,17,21,43.00,5.60,0.59,1.82,0
28,1,3,6,26.00,10.00,0.43,2.17,0
29,1,8,6,27.00,9.80,0.40,2.24,0
21,2,1,2,16.00,18.00,0.24,2.64,1
25,4,0,2,32.00,17.60,2.14,3.49,0
45,2,9,26,69.00,6.70,0.71,3.92,0
43,1,25,21,64.00,16.70,0.95,9.74,0
33,2,12,8,58.00,18.40,3.08,7.59,0
26,3,2,1,37.00,14.20,0.20,5.05,0
45,1,3,15,20.00,2.10,0.11,0.32,0
30,1,1,10,22.00,10.50,1.14,1.17,0
27,3,2,7,26.00,6.00,0.72,0.84,0
25,1,8,4,27.00,14.40,1.02,2.87,0
25,1,8,1,35.00,2.90,0.08,0.94,0
26,2,6,7,45.00,26.00,6.05,5.65,0
30,2,10,4,22.00,16.10,1.41,2.13,0
32,2,12,1,54.00,14.40,3.20,4.58,0
28,2,1,8,24.00,17.10,1.34,2.77,1
45,1,23,5,50.00,4.20,0.56,1.54,0
23,1,7,2,31.00,6.60,0.34,1.71,0
34,1,17,3,59.00,8.00,1.81,2.91,0
42,2,7,23,41.00,4.60,0.94,0.94,0
39,1,19,5,48.00,13.10,1.93,4.36,0
26,1,0,0,14.00,7.50,0.30,0.75,1
21,2,0,1,16.00,6.80,0.15,0.94,0
35,1,13,15,35.00,4.50,0.43,1.14,0
47,1,4,2,26.00,10.40,0.12,2.58,0
23,2,0,2,21.00,11.40,0.78,1.62,1
35,1,18,2,42.00,7.40,0.21,2.90,0
34,1,2,11,25.00,12.60,0.57,2.58,1
46,1,1,12,20.00,14.00,0.81,1.99,0
46,1,16,18,52.00,12.90,3.03,3.68,1
38,3,3,18,25.00,3.70,0.31,0.61,0
40,2,3,2,28.00,9.50,0.55,2.11,0
37,1,1,3,24.00,15.10,1.80,1.82,1
35,1,9,1,34.00,5.00,0.40,1.30,0
39,2,16,13,69.00,2.40,1.06,0.59,0
40,3,18,6,100.00,2.50,1.49,1.02,0
50,3,10,20,80.00,12.20,2.48,7.28,0
31,1,9,10,28.00,2.40,0.05,0.62,0
29,1,13,1,42.00,7.40,1.46,1.65,1
37,1,4,0,23.00,12.40,0.87,1.98,0
33,2,4,9,55.00,7.00,2.16,1.69,0
26,2,5,7,28.00,7.80,1.02,1.16,0
32,2,11,6,75.00,23.30,7.76,9.72,1
28,2,2,3,23.00,6.40,0.19,1.29,1
39,1,19,8,46.00,9.10,2.52,1.67,0
28,2,8,3,31.00,8.20,1.49,1.05,1
29,1,1,2,20.00,18.60,0.57,3.15,1
34,2,3,8,21.00,23.10,1.40,3.45,0
28,2,5,9,34.00,23.80,3.10,4.99,0
47,1,26,21,100.00,12.80,4.58,8.22,0
43,4,1,5,26.00,10.60,1.52,1.24,0
41,1,13,10,44.00,1.70,0.07,0.68,0
47,1,13,25,51.00,23.80,3.74,8.40,0
24,1,2,1,21.00,0.60,0.03,0.10,0
29,1,1,9,17.00,6.70,0.16,0.98,0
33,1,14,2,37.00,2.60,0.20,0.76,0
36,1,15,10,39.00,3.20,0.69,0.56,0
26,1,4,3,27.00,10.50,2.47,0.36,1
31,1,11,12,45.00,17.00,2.74,4.91,0
37,1,7,3,32.00,19.60,2.70,3.58,0
35,4,4,16,29.00,11.00,1.84,1.35,0
26,1,4,3,20.00,5.40,0.32,0.76,0
40,1,10,15,45.00,18.80,2.01,6.45,0
29,2,5,4,36.00,12.40,3.49,0.97,1
37,3,5,17,29.00,24.60,1.41,5.73,0
32,1,12,12,28.00,2.90,0.12,0.70,0
23,2,0,1,17.00,27.70,2.04,2.67,1
32,1,3,10,23.00,6.20,0.05,1.37,0
25,1,1,6,15.00,11.40,0.37,1.34,1
38,1,5,5,54.00,10.60,1.50,4.22,0
32,2,0,6,18.00,5.80,0.30,0.75,1
41,3,2,0,15.00,26.30,1.96,1.98,1
36,1,17,6,54.00,4.40,0.73,1.65,0
42,3,13,0,82.00,3.30,1.32,1.39,0
41,1,14,8,52.00,7.30,0.93,2.87,0
29,2,4,9,19.00,6.30,0.68,0.52,0
38,3,4,6,31.00,9.30,1.33,1.55,1
39,1,22,9,113.00,2.60,0.99,1.95,0
36,1,6,9,26.00,8.30,0.03,2.13,0
33,1,8,7,27.00,5.80,0.78,0.79,0
42,2,21,11,121.00,3.10,1.37,2.39,0
41,2,22,17,75.00,23.60,9.88,7.82,0
40,1,8,17,28.00,3.60,0.53,0.47,0
53,1,9,18,50.00,11.20,2.02,3.58,1
28,1,4,7,26.00,13.50,1.30,2.21,0
36,2,12,13,60.00,7.90,1.72,3.02,0
34,2,9,13,45.00,10.10,1.12,3.43,0
45,3,2,5,39.00,4.90,0.46,1.45,0
38,1,6,0,41.00,8.90,0.27,3.38,0
21,3,0,2,24.00,7.70,0.83,1.01,0
42,1,12,11,51.00,21.40,2.41,8.50,0
52,1,16,25,64.00,8.60,1.87,3.64,0
25,2,4,6,33.00,5.20,0.55,1.16,0
34,2,9,9,65.00,6.20,2.11,1.92,0
40,2,15,16,73.00,3.40,1.03,1.45,0
